SubjectID,Rotation,TrialCounter,TrialID,RT,Response,Condition,Accuracy
2,1,11,311,0.498,1,stem_priming,1
2,1,12,226,0.69,1,suffix_control,1
2,1,13,177,0.585,0,nonword,1
2,1,14,367,1.063,0,nonword,1
2,1,15,476,0.716,0,nonword,1
2,1,16,460,0.739,0,nonword,1
2,1,17,315,0.599,1,stem_priming,1
2,1,18,307,0.462,1,stem_priming,1
2,1,19,258,1.179,0,nonword,1
2,1,20,125,0.547,1,suffix_priming,1
2,1,21,121,0.523,1,suffix_priming,1
2,1,22,452,1.283,0,nonword,1
2,1,23,149,0.903,0,nonword,1
2,1,24,145,0.651,0,nonword,1
2,1,25,351,1.619,0,nonword,1
2,1,26,355,1.549,0,nonword,1
2,1,27,157,0.616,0,nonword,1
2,1,28,412,0.557,1,stem_control,1
2,1,29,133,1.278,1,suffix_priming,1
2,1,30,242,0.503,1,nonword,0
2,1,31,230,0.548,1,suffix_control,1
2,1,32,371,1.415,1,nonword,0
2,1,33,109,0.623,1,suffix_priming,1
2,1,34,246,0.926,0,nonword,1
2,1,35,234,0.619,1,suffix_control,1
2,1,36,105,0.757,1,suffix_priming,1
2,1,37,274,1.058,0,nonword,1
2,1,38,202,0.588,1,suffix_control,1
2,1,39,472,1.092,0,nonword,1
2,1,40,137,0.593,1,suffix_priming,1
2,1,41,343,0.887,0,nonword,1
2,1,42,480,0.845,0,nonword,1
2,1,43,214,0.686,1,suffix_control,1
2,1,44,238,1.514,0,suffix_control,0
2,1,45,165,0.999,0,nonword,1
2,1,46,161,1.191,0,nonword,1
2,1,47,444,0.969,0,nonword,1
2,1,48,210,0.62,1,suffix_control,1
2,1,49,153,0.691,0,nonword,1
2,1,50,169,1.384,0,nonword,1
2,1,51,266,0.711,0,nonword,1
2,1,52,206,0.895,1,suffix_control,1
2,1,53,101,1.003,1,suffix_priming,1
2,1,54,173,0.827,0,nonword,1
2,1,55,250,1.013,0,nonword,1
2,1,56,440,0.655,1,stem_control,1
2,1,57,448,0.643,0,nonword,1
2,1,58,218,0.628,1,suffix_control,1
2,1,59,303,0.49,1,stem_priming,1
2,1,60,404,0.521,1,stem_control,1
2,1,61,117,0.465,1,suffix_priming,1
2,1,62,436,0.686,1,stem_control,1
2,1,63,420,0.794,1,stem_control,1
2,1,64,468,1.069,0,nonword,1
2,1,65,432,0.826,1,stem_control,1
2,1,66,408,0.74,1,stem_control,1
2,1,67,113,0.637,1,suffix_priming,1
2,1,68,270,0.809,0,nonword,1
2,1,69,363,0.6,0,nonword,1
2,1,70,456,1.078,0,nonword,1
2,1,71,379,1.029,0,nonword,1
2,1,72,359,0.978,0,nonword,1
2,1,73,327,0.588,1,stem_priming,1
2,1,74,254,0.656,0,nonword,1
2,1,75,129,0.549,1,suffix_priming,1
2,1,76,375,1.416,0,nonword,1
2,1,77,424,0.779,1,stem_control,1
2,1,78,339,0.963,1,stem_priming,1
2,1,79,319,1.249,0,stem_priming,0
2,1,80,262,0.713,0,nonword,1
2,1,81,222,0.769,0,suffix_control,0
2,1,82,335,0.592,1,stem_priming,1
2,1,83,416,0.635,1,stem_control,1
2,1,84,323,0.592,1,stem_priming,1
2,1,85,331,0.618,1,stem_priming,1
2,1,86,278,0.58,0,nonword,1
2,1,87,464,0.595,0,nonword,1
2,1,88,428,0.763,1,stem_control,1
